contract,mint_number_count,mint_address_count
0x0ba8b7822d6c5ab60059708ddd14570ae27d2b2e,3410,1126
0x0bbff01df079c69a67fa514736d66c5acb58aedf,1891,206
0x0bc4ec911933a40b9b292ff4c50d8a4b39557d9e,4767,314
0x0be3f908f6fbf3321f089e6df88402b6c8d72480,4220,2270
0x0bef91e926f36fecc7ad6e304479de7b6baa631d,419,213
0x0bffc67227c0a3432a906a1c59c83459e5bfbdc4,1762,1185
0x0c1cf1d2a2ec13adbb919e1c2d42d6b732a4ce11,6842,1967
0x0c216004f230f992b1c44f2786dad06877fcaeff,88,49
0x0c44c9a6f8e4a0db14058eccc9448cf23cd4f8a9,1065,460
0x0c5932213a9b70b91625caeea7d22b5a16b108ae,12418,3345
0x0c5c5837601ecdb6ede934eb4d5119cb3da2bd44,3342,1574
0x0c84298dbaf3b714dd33bd0d3e3714a8b6648fd2,1050,476
0x0c8b5dc797a19680458503ec75773f13e159df30,565,214
0x0d03dc458535951940ce7949bf8473816491cdcb,1347,466
0x0d36f9095ecaa5467321f194ff0259cafb1c8531,1129,27
0x0d5e50c1e7cfde5219c21e0e103fe4b916805652,3683,1958
0x0d8374a5fc9464c17d8c31d0bedfb772330654cf,996,258
0x0da763dfc24764275e56d9011a01186fbacf2edf,449,146
0x0da845f704dfa8d19f02f55432eb5bba49457ce8,2757,1094
0x0db108b743d7797fa55e5cd8630fc824887223c4,1398,837
0x0dd08a67d494d79b556712fb2a6e8b48467a64c2,52932,4375
0x0ddca20bf8d260926218b156ceacc32f0e0f355a,390,307
0x0de07c6a0c3d866b966f7ecebe1146c02ed7514a,3025,1980
0x0e111c760c598c5258584d37fcdf04a599c9113a,962,878
0x0e208a41b992bc7816fe61aed754802f2788fe87,35514,1090
0x0e5c3e515efcf621ab4e32b08f73a2ba9fddbb3b,2006,892
0x0e69b357cbc2814791e66fb9ac3f047777f0c721,948,688
0x0e7dfcc6c9dcb9ea928b4328cd6ff16f8bcab1c4,62865,5319
0x0e838e238386a6c72ea054cc2548d7dd91cb72e7,826,457
0x0e853a59df647d0fcc7d4e6f26fd29048b47aa16,2175,1080
0x0ed21db11e1a396bc65191acacb7ad3b9fa12b27,1350,365
0x0ef99fb40691ee202a386fbf857cac5aecc75a13,4235,2226
0x0f30ec97f83f3ae1e102425d1eb2dec69e010b0b,2677,421
0x0f3660267fa3b13ce6d64b44bd59b908fc1b231e,1457,791
0x0f5bc290c4ba650dde183679291ee275c45f56fb,4278,1692
0x0f71c2554ad991ab10dea1614ce8168e6f9e489c,1360,1038
0x0f7d6ac57d1451c6a8e8a1f7c1919c1c37334e4b,4451,219
0x0f9185ff99687647dde040852d356f36e8c84453,9471,1811
0x0fc97013ed57e3b5d738e30f5761e52f43bb9897,63705,28992
0x0fce3b5d492dd32bcf3fb646c3ab4b50cebf36ae,1001,965
0x0fe0d87b6f8c9a8789e9c24fcc2ec1e1d6f332f8,603,35
0x0ff92c90fba7840d53ae19ecdde87e49a475c015,449,215
0x10179398be273905f302e6ae60e7e16e19126951,473,345
0x1041189d043d4eb059cb1eb9cb1b931a60e911d4,288,213
0x106b5c56440fe0c148bb97e9a7eaf9cf15b161f7,666,500
0x108fb86122fc629ec4f447049e75648046927a09,2639,1676
0x1095d777cb647bfb3ef3589fed6b8348057037fa,1270,910
0x10a9290b34e0f3c812e1a9e1be04239d33a540ea,1911,1133
0x10aaf17c98a37aeeb5c11c98bd3b6bebf4da7df1,2889,1783
0x10e7a98e4ee0740863e1e3741a1415817184b1ad,578,455
0x10e7c64f244735c1e7a00111b0235dd0607da8a7,1377,446
0x111d1008182b5cc05e1ff65fa37f3020c42d9554,622,496
0x112465c698bfd3b02a308085f35b53bf8c56c558,395,269
0x113677ff095fe0dbb6253cb83c6e47117034b643,893,464
0x1153881ac5030d7ddbec791b3c3391fd29545952,579,496
0x11545440f9b20bac730f71143763933bbcf5051a,2763,1175
0x1160ca0a2d6766e62aceacdbc818ee4b5126e442,3092,1636
0x11812e0ce1526d1482087df85d2530665d872778,2493,221
0x118d986d6681e8ebf793711621a11f0b86e2d963,877,545
0x1192ea1c8831acb03fb8fc804be8020a2c694aae,20464,2896
0x11a67895e6d42ddbdb92a19981a4973a72bce70c,646,574
0x11c0743031fac04ff0ac901328107404fc0cd39b,2303,1400
0x11c16cda78b714e14f41d4aa49c31fdc4a8011ec,5398,2106
0x11c7e9685655cc47fe40f78cab61c612fb701423,677,431
0x11ed558874785f48e96e80e030aed8e7f96824a5,11978,2774
0x11f5f6d95c62361481fc4a02e411de892ffd1aa6,258,171
0x1208a8ac5205cb048fa2230c01c3ef3c98dafed1,205,3
0x1225a39c666623e167506e698ea9abe3b604a807,2167,489
0x123e016c844cfc445c04e8b4c00afe79773dc840,1282,881
0x1272a84da0f7f89e9323cc9d6139f5dcec60171a,2345,2152
0x1273e2854f716c39f8657b9e41846e3acf253a76,477,226
0x12770beb72920bcdff7b132e207040691dd27213,1455,1405
0x129d67bc60732cabcf9b6c244c5b0f886b9038b3,2936,340
0x129ec33172cd16ff79bc9295ba942e21b49954b5,630,291
0x12b929515177af67bf93343ae22670d9091e6973,2749,1781
0x12d132c341e1e69821f8c4b1477c8287ef9f30f9,2749,374
0x12ea74a5fad44f22e2cb1a51b249cd4f8493917e,2411,996
0x12f62064ea3793b8ced3d76ff7a3e3d987c3a503,2064,1238
0x12f6f2a3080e85fede9617881360a74e9b32ed93,1790,1257
0x1312e3c05ac40367cb80ff5faab1f75d563711c5,7726,2322
0x131306995a56834de5e73ffafb5cddade47e5c4c,1427,335
0x1341dfe7d62924695cdbed7ecc5bff3931ff23d5,1224,439
0x134a911c5f5ca3037ecb70e07374b83d1e830515,1047,583
0x135f95d26713342b1591eb3d97a20b6d65cba931,3880,345
0x136b9aa830917acad0a2f8c3e8cfad4351fbbdf7,2149,971
0x1379e81aeb6c850eb67295a939b82991c1c26fb5,2578,1177
0x13e7d08ed191346d9fee3b46a91c1596393dcd66,5721,1454
0x13fc42b706dc7ee935ceaf0e06b901f01fd362b7,5813,2380
0x1416de2525a1dd6523d93c941f115983b6a3373c,174,141
0x1420cedff9774a6ecb99c92f907a033d24f633bc,317,134
0x1435c4fd5e7f61224225f4b0f84b26bb679f8110,541,325
0x144c5b5141cdab13e5b5b22165bf6688ac7212bc,2033,1333
0x14514ca4427e96d19aa94ab8ee7f35bc930cc4d0,7373,2475
0x14535db7f1c36451657385a7d6cadbefc950216c,464,70
0x1463c0c3986cb9defcdb8f92dd429573455f0498,2713,1161
0x146e3162cdcba8cd936cecdd1f5aec2707c86e59,217,193
0x1480968b9e35d216bdb367a883cc155fb6daf9c4,3700,850
0x14b08d6d5326db13a547c3e707f4e8ab3a05e2a8,2014,1629
0x14e8d69b5409d402f3ccd701d11e31c4de05264d,44,7
0x14feca2a60453921301aafd7f32afc800eb12598,9276,1655
0x1509bbe6281278052b437aa4df40396805f8052a,2400,1409
0x154356b7e1b7b1fb20edd74daa930d989ba5c8c9,2868,645
0x1551a64bcd8625b73e9a782e588a69ee809d86fb,95,48
0x1569f5d2114dafbd35d7c756f58510703b04d35d,2907,2619
0x156f6014f4c67b9b14993dc2cccc1e3b36645291,4111,3295
0x157475b93b8e46bd53bf12809ef97ee4dda31391,1148,1026
0x158016d7ac33c91d9aaaf80c13dc93445f27a822,1694,840
0x15a4e34f6f5a93bd62bdc2327879f1f2639782f6,5612,2494
0x15a753c7ac072a3bfd09fde0721140c339ef87e0,1597,1293
0x15dd09ff8c2f8c7e06df044664e135ccb6b7725c,1434,869
0x15ef843be199a1abe7185ba58fd00693f780a314,8283,3067
0x15f58fd40a01dae0fdff6fd0cef35cd3e49d647e,12111,1529
0x162545d5442a620a73877951e97645c0905b6045,4778,2241
0x166a0ce5814b5188e9aa96da3dc05a38018fc927,1248,112
0x1673c445c4920e914c7b91853d7595ad72d594c0,747,280
0x167dc32a663801c4fedbf5ab2bf77e4fc74ebb89,73,50
0x1686d7c5211c0a9f393eb85694c0695834a01efc,1203,863
0x168a8fb0d927b12e9536cce8226e0edacf496577,14331,843
0x16ce4bcc86d874774a3e7119653ce208fba116a5,1683,751
0x16e9484f5b714d58b7d3bbc6c80e7e7aefe1390b,1664,200
0x174839773e56e1145ecbf72986a1ec2d464cde1e,3193,389
0x1753819488327ed86206d233e011fbae1f6634c9,493,216
0x1768dcbbd2129fc4d4f2c08928c625ed9419e0ef,82,31
0x176ff191b9d4de11c9d5f979ea5a56f2ac027aaf,11815,2509
0x1778ed782b04f3df09ae7530f437eefdf8c7a50f,2739,1237
0x179335e8b0005210c2fa9a1dfb7f92cf636157ad,3198,1457
0x18478d4c7a0d97d1900279e44d99ac2296613084,1380,833
0x186df81ec222a4fd6b7ea290f3cdf27c7361f7c8,13130,2825
0x186f5a57177202c34a6058197d5f95855b60c783,394,353
0x18abe5789bc2682d9e365a89e42ca25eb9ebc3c2,1332,604
0x18aefe20ff1dd8e95f723567c886319598e9c8a8,1603,367
0x18bb16bbe5adb57218fedd10ae8a194767731b75,760,488
0x18ddd8934459d532fe16895588ccc26337d73985,2303,1213
0x18de8aa5f80cc912c4e5f76422462d5799932f90,1245,859
0x18e9d50c1a819f359503b26bc988580968a15b80,165112,763
0x18ee4e2b71c28f5a4582a7b5a912a6d5cf9789e4,5151,90
0x18ef270e323e852b875a59655ba593ba9b722972,2474,1857
0x18fa2d1b1b4b3bfcf3d9112cde12078251eac40e,685,400
0x1909f16783dcf477651d0c10d210441d26aa16ed,33070,3135
0x190ed75c6b6861187d6941e91f54cfd3d0526e2d,9099,2806
0x1924ae49aa77295d8c7a8f9995101317b20e2658,1091,589
0x1952d5a9a322b4deed37a65ba4996dd41d6aae86,337,170
0x1977fb0c0bc734fc328f6ff3262eb7eda2e389e5,1147,286
0x197834001eedf8d57b988c43bb24b2b08ca50f10,1468,701
0x19799ae718dbb749040c0c8764e460beb6436718,504,20
0x198f74f6e3a4275e0e268db3640047a12fd0d0a4,601,377
0x19ff658369141a05079439c2c99596dc6c2fb250,2503,1087
0x1a0b079478c2a94bba3cefa70bcb68b5c5783e0c,3278,1562
0x1a14c3ef5f8cf3bdb7f1d2b3631effd70de0168e,569,426
0x1a2d222c3ff93f4f1a9d26b27f6669bf8522aa62,5415,3233
0x1a371de4634c3debf7196a1efc59e620aff0915f,4033,550
0x1a3c73503a539346111e02b6e24d4702d127646b,2146,19
0x1a4446cbb21e73e2b2cc7d8acabdd7d60341a7ce,838,229
0x1a4a94011794a48a9327f99e240361a7c582324f,11585,1555
0x1a6c9b69a44291e367dacd9afa6368ae4e48c391,436,262
0x1a82378a32c272eb2c1f48974a137ec52bac44a5,922,89
0x1a89b29ca35f4eaa3f22bd71c2f723cddf6df6af,14482,3293
0x1a9027df2cf0baf37668847f8e35c791384871ab,47,11
0x1a979587f872e7676cfbbd071236fc00112f06f2,462,354
0x1aaf7492fd4e6661ad496a5cac10a2c32ca1f2e0,2657,909
0x1ae96f9c19dcad192282d73747ab8b8873cbde0d,1115,517
0x1b02e82aa280f99ab58e111fe195cff1f570aba2,5650,1843
0x1b23215cf485b1638d117d321fd1d1d8da67d665,2772,1083
0x1b3e46dfcff3857388d59faaf4d017e5205b80e6,47913,838
0x1b688813c847694b90820aa534f4872b6bccebaf,1586,1344
0x1b696f38b711c067bc80d204e442d341a0e9f0ad,4123,1953
0x1b7015e2ce711cefc1ccbb1b3305db20db018b2f,4066,1972
0x1b811b1adfeec13c70fe4ca7bd36fc443237a979,764,336
0x1b966634345e68f1df0af580a59dd1de7f8271c4,9949,231
0x1b9e2802d4092505256dfd3fb286d463942e8c44,17606,153
0x1bd0a201dddc89989e9c3533f6f3b4b7624a67e8,1742,1281
0x1c18d800730cc8211951f5bf11edb41d30793770,1766,569
0x1c1cc4f76d8d7545846abe03ee289248a48a6ee5,404,272
0x1c1e9da761e351a7b0a651c0e30bf28e0d06ee00,713,397
0x1c3863132681a3bce3f05848661eba1824ebf4dd,1608,1106
0x1c5498178e718f3e4f66201ef12bb051f281dc67,3423,1243
0x1c6c616b14f0f0a6687742bc1b28974697d03612,748,552
0x1c80e6560bf7f1730f3a7b4782cec6bf7c441f58,2389,377
0x1c87a6c5ee0656bd90f4185dace3ac969fecfeb0,487,417
0x1ced055917c1c5a4d7aa14b05c6bd09b2b1e6f17,9238,3177
0x1d317f11ea752bed7a25477800eb36c748f80250,4905,2063
0x1d95fbc578dc0d565fd02ac5a1cfc5490e592def,572,143
0x1de024304bb5506ad922765ad997ff95f4163fe2,20,2
0x1deda47ba483a4cf7cf60e59311a06e305b1625f,2969,1532
0x1dfe7ca09e99d10835bf73044a23b73fc20623df,134686,24880
0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5,8055,1887
0x1e4dd6ca8123c2371b3ca3168a495027503b2cce,1132,595
0x1e83329ed0c56970a8554a796b44ddf766f60e66,7455,1916
0x1e894ef6274ce7139c0a18dceed0876408cb2de9,3487,1435
0x1e971faf029f60dfdcc2ca39879222a663ae10a3,1727,1616
0x1ea7f90031c58db2c142dc055e2615a8a62d5c64,173,141
0x1eb8184e31fae0c19bdc2e1f2ca802d01b69fee5,1225,882
0x1ec5c69674c414aa2e6416fa91a019a4ad9fbbaa,2675,1181
0x1ee7a2fcca305221b06e5fd587b939ff4f9d8db5,4354,1795
0x1f201a9f8cd14cae8dc448b2413a12abd3a25e16,51192,748
0x1f532832f4ca2e03f06e0738c1a39525fddb0dd6,1615,549
0x1f5f70ffbfd81d05857ae5de351ec61a9d90c5d2,2320,1002
0x1f65bfcc05525b63345bd156723600b4f4621f74,5498,73
0x1fa8de2fc3fde6cd69c4af4b62e630ecc44ffe10,10,1
0x1fb50495005ab3ccaf22c5049072d4af5de4a1e7,7979,5173
0x1ffad08faa83059ed455db9959de272342ad7eb1,221,188
0x20053fc1aa38a2624ad265b4253dc6aa5eb0860f,301,300
0x20189f380660d6e7023936ff88ba33164dbffef4,4940,1420
0x201e594384607fdbeed8fda25eb2aca833b5e698,18175,327
0x2026fa4824470429f20a12655325428bdcc4db6a,3453,1992
0x206274d83a9000e02d2bce87287cf96f51e0334b,1970,789
0x206a7ace7ba20198949f93b1f081f75b27ee0c5a,332,290
0x20799b5101442ab44ec89d7a6e6cb545e609d7f8,1006,1
0x2085c567f0d65e9767cc6d33da0cadcef88e12d3,1609,1195
0x2086c59a1d336b7dc313de089e0078adabb0637a,826,476
0x20a22888c004f2883f8705204a610d9b70d6a341,124,97
0x20bab2589745c4dfd1e3b99640f1533b72df0684,2338,1226
0x20c536c31fd38a1fd66a8e6f8c4ede373d1c106d,3482,904
0x20d28105eff77de9bf313b9fd9a379d8e07c04ef,697,545
0x20e347d5afbe7b0e28c4289485c3d39118eba719,917,584
0x2130b14445c319c80095ce9c24255e0d2b8979d1,3418,1624
0x2164497777ca249d3dd7589f29fcd3a60c858c1f,484,292
0x2168ce97d977b6a1604e4059251ed3223b8267d9,2751,1819
0x216c533bb55eb56150ac441330d05959ffc73f43,1223,393
0x21842986d252eae5be0d166f5ee7ede5f0826a82,129,54
0x21a5378193b7f1ef978ed63dcb94c35c017f7e9b,600,328
0x21b61c35c513c05cc9e1ff2c90f0ba72aa003a10,924,16
0x21bf3da0cf0f28da27169239102e26d3d46956e5,9999,4698
0x2215e010f1374483e54a54aae3f2ad39c9f19673,880,508
0x2238914b0138e0cf9808141186189fb18868a79d,4040,585
0x223c05789fde97440241afb9818d959219251876,1817,1200
0x224bd8907108b3be6a6ec2995d6cf5f8793d1ce7,1434,1256
0x22a57b008336908b04bb3b2bedfdeb000459a0c3,21804,2492
0x22b93b8a1f9fa80e0073658cee1a02be5dbee4b1,1917,944
0x22c915866bad87615fef6953838149f6f90f450a,2848,1661
0x22e5507a4ae43b0439be954433b07a768d2b964f,7719,66
0x22f2b5a67d9c7a4fad62826279522a31dd44b772,819,350
0x22f709f3851c9adabe6c600cae8abee5f1f1918a,11375,2671
0x232defa1b115e467405e951231f08738f5757bb0,5555,2712
0x2342cf5bab24b863ec933d97d1aafddc972e8a9d,6021,3943
0x23603ce5e5fb29e48d5d1904e4ffa6a3bb3e0a0c,7034,3361
0x23684c313c1bda3590598a08292a4c5467c793fd,6000,2287
0x23868f6a65e10d6e9a23deab25f35cd120981323,424,315
0x2388d2cde1ca4f34968f987def84d535c2ecde79,44,17
0x238fd554cf0083fb258e35d08645f42919022b2f,35,12
0x239564075b77e63ff7d7bb277f7f8a5ce369a365,1524,37
0x239ce1fb790d5b829fe7a40a3d54cb825a403bb3,8903,3295
0x23acb5a56f5f12ffc0ffe348c7c0ee619fc57a59,284,17
0x23c5b6cf81d93068faad0b50dc609c8473355ede,12029,2733
0x23e96ab195f2b1b6f4c0a2ae81657ea2cb40f67e,892,32
0x23eb53558885008160c2647f7ad1135ee6539896,8925,2021
0x23f6965b82677350c210a1eb9f38ba469e2283ad,2039,844
0x2412d70e7b0f99ca68ca11c8a7ee3b57e81672bb,2087,172
0x243d2bac4d150c8546cabccb7c198fb9ae966523,1577,1038
0x245a3d26322b2e1664dd863a120209fc10c7143b,1000,347
0x2463ff8632e4f692a160864c1f4ab151e7eb2cbe,647,341
0x24f19738a690a29233a3615c656c67e668905656,843,351
0x254f0ed9a40b81402c86dcb5bc064dc036a5b7cc,412,245
0x2570f12074ac007aec09426c5d092dd2a1fa3e5f,1199,509
0x25bf19f915980b4c1f9d886c772ce1793cf57834,102,74
0x25fee0c1114e205c0715bddb6cee7f3130a5cc8f,837,673
0x262220151de2b72e6560f1dec4a1b0378aa1eddc,6189,2049
0x262ad6c76fe1759415338485fab07b357fac9fe1,2331,846
0x268902d2fb6491b61d647387dc59f15d5b0b9fb1,3612,1499
0x269641a320f8465ef4e710f51dc6e6862d7e8a77,96697,32389
0x26be1b2145601e8d73f71b2517bc31a0b7ad3df2,295,177
0x26d06debb12c2d891c620d850d91ca2b044619a3,2409,590
0x271b2f5afeb5a586415f9ed9b39ef81c63071ed9,3459,1207
0x274c18896c5dd7860ab0d8eee8dad9a272366a46,2120,1350
0x277a38f8adcf5ebe7e001de1666ae04a75c134dd,1306,122
0x27ad6c38762237e6d644b210a0997701afdd6f2b,4988,1434
0x27d270b7d58d15d455c85c02286413075f3c8a31,31336,134
0x282cc1505f7d19dcfef4b4225169e0d4d6cabf33,1090,820
0x282ef9233612c03537820f77d29b23d282f17109,4178,2365
0x28320317733e593e515a49191f64d362a2ad45aa,2591,1986
0x283a844bd9bfae7655b72430c2c11fd57b01f1c4,7041,3159
0x283b39a4dd9ce19ca6ea2e89760d0ac7b7a9c074,1467,868
0x2841413795bbe4e42c1a8558b3e55ecde4a12014,2000,971
0x286d72e64d6e6c54605bc326f608310956aad863,2387,1286
0x2875be4359485588087bf871e64556047c01a1ef,229,160
0x28b44614080047260371e8aaa98fe279d93f673e,6390,3806
0x28e68aa5738cffcf9a0bab760353eb727f82d81a,521,488
0x28ed3a5bef29d9f441700a49f7625fc081341d7a,4086,1491
0x28f31a3d253a77d8e5d67f717a7c94273e3e7c49,13,13
0x2919554bcbb7425f53023d99d20981ce30f09082,40,3
0x292a872c9a96bcc7429c6707a014ea693a0e2c8f,557,464
0x29720a9c97d617fe3c5f24e03a662a5d07cb88cf,2674,1171
0x29795f3b3c9327fff040d890f0764e3159f30687,3388,973
0x297c1a2740be3643d8ac66aa6aef7172d2a0fcf9,1217,713
0x29823f84ba74ca7b5287e1258a65e85017a56485,331,146
0x29a2a174e900c62d681c9b52cd138ecd0e917830,7899,2207
0x29b090e1ecdeee9726f94515afbda765a46138ff,2027,1775
0x29b4ea6b1164c7cd8a3a0a1dc4ad88d1e0589124,8944,2761
0x29d0c296b387287308a490b0776d21e1cb0e9d31,487,422
0x2a152bebbc851e649014136886065ae51d635054,2849,914
0x2a438a4501d03e7e4086ceaec8e1fef366eeabe6,897,517
0x2a5503280d66a47de0754ddc73252ca9a4e93dcb,1502,301
0x2a7a4d5e402ed66a45f04db53ef18f7515e0db4e,456,405
0x2a943ec182869ffd44d220a1a6c5fb3372c3a711,1670,114
0x2ac1d101e46793e0103f630ea1adf085d9ec3c1c,819,356
0x2ac5702f0cb3db69025ecfc10e5b5ad716ebdf76,1672,324
0x2af75676692817d85121353f0d6e8e9ae6ad5576,81154,1427
0x2b0cdc5658174fb1b496cec47e065f80e6b00641,6648,3098
0x2b413a7f4ac92246931dd6aad1b71ce19d39563b,1690,1583
0x2b4d2be70b0155dd88cfe1d32edaf8db3a10dbe3,665,448
0x2b4f7628185d06d955b8c4a7e11efb517a58aced,4911,873
0x2b767222822a53322f88ddce241c16cfce9dece2,4794,97
0x2b7ac457fe9fec33e358d1071af609e31a5d0b30,21,6
0x2ba4463703d5f831ce445a6315e240ee459808e7,2788,1051
0x2bd60f290060451e3644a7559d520c2e9b32c7e9,5200,1482
0x2c2fc87a3923f23bbd592dc2dac5da6eb0fee2ef,12462,2149
0x2c90642d2d3c99d448c5ca2031262e0dde51a44a,4173,1734
0x2c906bb58e6f083b4322cd9ad72feb0e93016137,20468,1143
0x2c9743a7d4b8d39884e8e919372157711d54cce1,10811,5321
0x2ca37ad1b2385f4e2d077ff5ae0a1a842233fa9e,628,471
0x2cab446688c5bd058af9d725fedd33e4508ac31d,2423,820
0x2cacab7dd79997ef9ffe38204c3bad56c79fc4b7,5373,1987
0x2cd4be8d4cde4d3ed5d53607991fd82770968024,2876,1279
0x2d0d57d004f82e9f4471caa8b9f8b1965a814154,7817,1619
0x2d677dbe16752a066ef83e382dcc04d7003a61ed,26336,4886
0x2dd6e1134c781511b2b2767e1bf03bd6687c348d,4599,2567
0x2ddecbd5e8bb75cef900d4f37f9726163b4a6232,1673,215
0x2e0e1ddd3ac757c5d6014f1ce5fd133f53ca439a,3915,1145
0x2e24a457ed2f115e558552862e6cca567fcc61d6,73,283
0x2e62a5142809642448218fd0dd4420cab7549b02,2070,483
0x2e6f0468566cd5b482b94a3522ff2ff23776ce9f,672,267
